StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1,Q3,Q2,Q28,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q4,Q5,Q1,Q2_NPS_GROUP,Q2,Q8_NPS_GROUP,Q8,Q29_NPS_GROUP,Q29,Q9_NPS_GROUP,Q9,Q31_NPS_GROUP,Q31,Q32_NPS_GROUP,Q32,Q10_NPS_GROUP,Q10,Q33_NPS_GROUP,Q33,Q34_NPS_GROUP,Q34,Q36_NPS_GROUP,Q36,Q37_NPS_GROUP,Q37,Q38_NPS_GROUP,Q38,Q39_NPS_GROUP,Q39,Q40_NPS_GROUP,Q40,Q41_NPS_GROUP,Q41,Q43_NPS_GROUP,Q43,Q44_NPS_GROUP,Q44,Q45_NPS_GROUP,Q45,Q14_1,Q14_2,Q14_3,Q_DataPolicyViolations
2023-04-10 04:34:40,2023-04-10 04:35:44,4,124.170.179.144,100,63,1,2023-04-16 07:54:48,R_6F5wBF5bbxYKL4y,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,2,1,4,1,2,3,4,1,1,"1,2",1,6,1,6,,,1,5,2,7,,,1,6,2,7,,,1,5,2,7,,,1,5,2,7,,,,,1,5,2,7,,,,
2023-04-10 03:59:07,2023-04-10 04:00:31,4,124.170.179.144,100,83,1,2023-04-16 07:54:48,R_88uEWSKm2pMSeTc,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,4,4,2,4,4,2,1,3,1,1,2,1,6,,,,,,,1,5,,,,,1,5,,,,,2,7,,,,,2,7,,,,,,,2,7,,,,
2023-04-12 21:01:06,2023-04-12 21:02:01,4,103.120.10.196,100,55,1,2023-04-16 07:54:48,R_9nJJy13Yakqpkxw,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,2,2,2,4,2,3,1,1,1,1,,,1,4,,,1,4,,,,,1,4,,,,,1,4,,,,,1,4,,,,,,,1,4,,,,,,
2023-04-06 04:24:48,2023-04-06 04:38:22,4,,100,813,1,2023-04-16 07:54:48,R_9nqZfzkwCPvN4I6,,,,,-33.8715,151.2006,preview,EN,3,2,1,4,,3,3,1,3,4,2,,1,"1,2,3",3,9,2,7,3,9,,,3,9,3,9,,,,,,,1,3,3,10,1,2,,,,,,,,,,,,,,,,
2023-04-12 21:02:04,2023-04-12 21:03:51,4,103.120.10.196,100,106,1,2023-04-16 07:54:48,R_b2RKHzxjlLzCFw2,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,2,4,1,2,3,1,2,4,3,3,"1,2",1,6,1,4,,,1,3,2,7,,,1,5,2,8,,,1,4,2,8,,,1,5,2,7,,,,,1,3,3,9,2,4,4,
2023-04-09 05:58:38,2023-04-09 05:59:26,4,120.18.105.202,100,47,1,2023-04-16 07:54:48,R_b2TiiCtSceaUPum,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,1,3,1,1,3,2,4,11,1,3,,,,,2,8,,,,,2,8,,,,,2,8,,,,,2,8,,,,,2,8,2,8,,,,,,,,
2023-04-09 05:48:37,2023-04-09 05:49:34,4,120.18.157.86,100,57,1,2023-04-16 07:54:48,R_dbNKlyegqqtSp26,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,4,2,4,2,4,1,3,"1,2",1,"1,2",2,7,1,5,,,2,7,1,4,,,1,6,1,5,,,1,6,1,4,,,1,4,2,7,,,,,1,4,2,7,,,,
2023-04-09 06:06:27,2023-04-09 06:59:09,4,120.18.105.202,100,3162,1,2023-04-16 07:54:48,R_e2IjS1Q4dZR5wB8,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,1,2,2,2,1,3,4,2,"3,11",2,"1,2,3",2,7,2,7,2,7,2,8,2,8,2,8,3,9,3,9,3,9,1,5,1,6,2,7,2,7,2,7,2,8,2,7,2,7,2,8,3,4,4,
2023-04-02 20:27:35,2023-04-02 20:29:13,4,,100,97,1,2023-04-16 07:54:48,R_eX3yKhOlxrH0jRk,,,,,-33.8715,151.2006,preview,EN,3,2,2,3,3,3,6,1,2,4,,3,2,3,,,,,3,10,,,,,3,10,,,,,2,8,,,,,2,8,,,,,2,8,2,8,,,,,,,,
2023-04-09 06:04:52,2023-04-09 06:06:36,4,120.17.44.149,3,103,0,2023-04-16 07:54:48,R_00Oxu37I8dFktHo,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 06:58:51,2023-04-09 06:59:13,4,120.18.12.175,9,21,0,2023-04-16 07:54:48,R_2fcan5SHrVaxhKC,,,,,,,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 06:14:10,2023-04-09 06:14:24,4,101.113.147.64,3,13,0,2023-04-16 07:54:48,R_3UdVaPhEduqXlzM,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 07:04:02,2023-04-09 07:06:38,4,103.252.202.163,38,155,0,2023-04-16 07:54:48,R_3dRUSfl2KVmQ5p4,,,,,,,anonymous,EN,3,1,3,3,4,2,2,2,4,3,1,"1,3,4,11",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 06:10:49,2023-04-09 06:11:07,4,101.184.42.72,3,17,0,2023-04-16 07:54:48,R_54rQf3cVSHJCXxs,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 05:43:17,2023-04-09 05:43:24,4,119.18.1.6,3,5,0,2023-04-16 07:54:48,R_6sbTgYOTSYBsyIC,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 06:23:24,2023-04-09 06:23:56,4,220.245.63.242,3,31,0,2023-04-16 07:54:48,R_802Yimg3tlPlOwm,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 06:29:13,2023-04-09 06:29:21,4,119.148.98.22,3,6,0,2023-04-16 07:54:48,R_e36DVon7WNltCTk,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 06:13:01,2023-04-09 06:14:42,4,170.178.185.50,26,101,0,2023-04-16 07:54:48,R_eJUxx5ijhdLm6MK,,,,,,,anonymous,EN,3,2,3,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 05:38:31,2023-04-09 05:40:12,4,120.18.210.24,32,100,0,2023-04-16 07:54:48,R_efWXRtouywrNlSS,,,,,,,anonymous,EN,3,2,4,1,5,1,1,1,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-15 22:42:47,2023-04-15 22:44:00,4,103.120.10.196,100,72,1,2023-04-16 07:54:48,R_6LSQdk08UWqrE8K,,,,,-33.8715,151.2006,anonymous,ZH-S,3,2,2,3,4,2,2,2,1,4,3,1,1,"1,2",2,7,1,4,,,1,4,2,8,,,1,4,2,7,,,1,4,2,7,,,1,3,2,7,,,,,1,4,2,7,,,,
2023-04-09 05:52:15,2023-04-09 05:53:07,4,120.18.157.86,100,51,1,2023-04-16 07:56:48,R_0ILpZtifEiQ5xmm,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,4,2,5,1,3,2,4,1,1,2,2,7,,,,,,,2,7,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,,
2023-04-12 20:54:39,2023-04-12 20:55:35,4,103.120.10.196,100,56,1,2023-04-16 07:56:48,R_1Fx0IrmxM8OlmRw,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,4,2,1,2,1,3,4,1,2,2,1,6,,,,,,,1,6,,,,,1,6,,,,,1,6,,,,,2,7,,,,,,,2,8,,,,
2023-04-09 06:04:46,2023-04-09 06:05:59,4,120.18.157.86,100,72,1,2023-04-16 07:56:48,R_37OmkoJsVyQEPHg,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,3,1,3,1,3,2,4,"1,3",2,1,,,1,5,,,1,5,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,4,4,4,
2023-04-12 21:40:52,2023-04-15 22:42:43,4,103.120.10.196,100,262910,1,2023-04-16 07:56:48,R_3xYhIlNRv3qwuyi,,,,,-33.8715,151.2006,anonymous,ZH-S,3,2,1,1,4,3,1,1,2,4,3,4,1,"1,2",2,8,1,6,,,2,8,1,4,,,1,4,2,7,,,1,6,2,8,,,1,6,2,7,,,,,1,4,2,7,3,5,4,
2023-04-09 06:03:25,2023-04-09 06:04:32,4,120.18.24.197,100,66,1,2023-04-16 07:56:48,R_4IA4wMb3ij9JZDo,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,2,3,3,2,1,4,1,2,2,1,5,,,,,,,1,5,,,,,1,4,,,,,1,5,,,,,1,6,,,,,,,1,5,,,,
2023-04-09 05:47:14,2023-04-09 05:48:29,4,120.18.157.86,100,75,1,2023-04-16 07:56:48,R_4V3lhsG7VY33sPA,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,4,2,3,2,3,1,4,"1,2,3",1,"1,2",1,5,1,4,,,1,6,1,4,,,2,7,1,4,,,1,4,2,7,,,1,4,1,6,,,,,1,4,1,4,4,4,4,
2023-04-09 05:53:41,2023-04-09 05:54:35,4,120.18.157.86,100,54,1,2023-04-16 07:56:48,R_6EEGjMLopxcKJ4G,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,1,5,2,4,1,3,1,1,2,2,7,,,,,,,1,6,,,,,2,7,,,,,1,5,,,,,1,5,,,,,,,1,4,,,,
2023-04-12 21:02:04,2023-04-12 21:03:51,4,103.120.10.196,100,106,1,2023-04-16 07:56:48,R_6eQUuokFbAm6E74,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,2,4,1,2,3,1,2,4,3,3,"1,2",1,6,1,4,,,1,3,2,7,,,1,5,2,8,,,1,4,2,8,,,1,5,2,7,,,,,1,3,3,9,2,4,4,
2023-04-12 21:41:01,2023-04-12 21:41:47,4,104.28.125.4,100,45,1,2023-04-16 07:56:48,R_6eSx2ZsKGsuQAyW,,,,,-33.8715,151.2006,anonymous,ZH-S,3,2,2,2,2,2,3,1,3,2,4,2,2,2,2,8,,,,,,,2,8,,,,,1,3,,,,,2,8,,,,,1,5,,,,,,,1,6,,,,
2023-04-09 04:50:36,2023-04-09 04:52:48,4,202.43.234.79,100,131,1,2023-04-16 07:56:48,R_7V9t8UDn4pGkfYy,,,,,22.2578,114.1657,anonymous,EN,3,2,3,1,4,2,4,1,2,3,4,2,2,2,3,10,,,,,,,3,10,,,,,3,10,,,,,3,10,,,,,3,10,,,,,,,3,10,,,,
2023-04-09 06:23:07,2023-04-09 06:25:19,4,120.17.232.252,100,132,1,2023-04-16 07:56:48,R_7VA9OHnhGsPqalE,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,5,2,2,3,1,2,3,4,11,3,"1,2,3",1,4,1,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,,,,
2023-04-09 06:00:49,2023-04-09 06:01:52,4,120.18.105.202,100,63,1,2023-04-16 07:56:48,R_88MEexrpQFQjdgG,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,4,3,2,1,4,2,3,1,2,"2,3",2,8,,,3,9,,,2,7,2,8,,,2,7,2,7,,,1,6,1,6,,,2,8,2,8,3,9,,,3,9,,,,
2023-04-09 06:02:28,2023-04-09 06:03:30,4,120.18.157.86,100,61,1,2023-04-16 07:56:48,R_8D18dujZn5oZoYC,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,3,2,2,3,2,4,1,2,2,2,1,6,,,,,,,1,5,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,,
2023-04-09 06:05:31,2023-04-09 06:06:15,4,120.18.105.202,100,43,1,2023-04-16 07:56:48,R_8ldhFCkQ3wK9ChU,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,5,3,3,1,4,2,3,3,4,3,,,,,2,7,,,,,2,7,,,,,2,7,,,,,2,7,,,,,2,7,2,7,,,,,1,1,3,
2023-04-09 05:53:31,2023-04-09 05:54:37,4,120.18.105.202,100,65,1,2023-04-16 07:56:48,R_8vvGu5zL7X25THE,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,4,3,2,1,3,2,4,4,3,"2,3",2,7,,,1,6,,,2,7,2,8,,,2,8,2,7,,,3,9,1,6,,,2,8,1,6,2,8,,,2,7,2,4,5,
2023-04-09 05:57:44,2023-04-09 05:58:26,4,120.18.157.86,100,42,1,2023-04-16 07:56:48,R_9KQP7BGkEARWpka,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,4,2,4,3,2,1,4,"1,2",1,2,2,7,,,,,,,2,7,,,,,1,5,,,,,1,5,,,,,1,6,,,,,,,1,5,,,,
2023-04-09 05:48:39,2023-04-09 05:49:32,4,120.18.105.202,100,53,1,2023-04-16 07:56:48,R_a5ft6TilcFkKYBM,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,1,1,2,1,3,4,1,1,1,,,1,2,,,1,3,,,,,1,4,,,,,1,4,,,,,1,5,,,,,,,1,4,,,,,,
2023-04-09 05:44:42,2023-04-09 05:45:25,4,120.18.157.86,100,42,1,2023-04-16 07:56:48,R_afMwnhkRjc0ugdg,,,,,-33.8715,151.2006,anonymous,EN,3,1,2,4,4,2,2,2,3,4,1,"1,2",2,1,,,1,4,,,1,5,,,,,1,3,,,,,1,4,,,,,1,3,,,,,,,1,3,,,,,,
2023-04-09 06:01:57,2023-04-09 06:02:43,4,120.17.44.149,100,46,1,2023-04-16 07:56:48,R_cOxGwYVTIXdssUS,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,3,2,4,1,2,3,2,2,1,,,3,9,,,1,3,,,,,2,8,,,,,1,3,,,,,1,5,,,,,,,1,5,,,,,,
2023-04-02 08:19:49,2023-04-02 08:23:35,4,124.168.224.211,100,225,1,2023-04-16 07:56:48,R_eEYsN8M2ZVrG1YW,,,,,-33.8715,151.2006,anonymous,EN,2,2,3,3,4,2,1,,1,2,,1,1,"1,2,3",3,9,2,8,2,7,2,7,3,9,2,8,2,8,2,8,2,8,3,9,3,9,3,9,2,8,2,8,2,8,3,9,3,9,3,9,,,,
2023-04-09 09:48:42,2023-04-09 09:52:20,4,49.186.93.111,100,218,1,2023-04-16 07:56:48,R_eesKFzsgT8xB0Q6,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,3,2,2,1,2,3,4,1,1,"1,2",1,6,1,6,,,1,3,1,3,,,2,8,2,8,,,1,6,1,6,,,2,8,2,8,,,,,2,8,1,6,,,,
2023-04-12 20:52:51,2023-04-12 20:54:33,4,103.120.10.196,100,101,1,2023-04-16 07:56:48,R_07MdPF6zCTU9LWC,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,3,2,2,4,1,2,3,1,1,1,,,1,5,,,1,5,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,,,,
2023-04-09 05:38:45,2023-04-09 05:40:00,4,120.18.105.202,100,75,1,2023-04-16 07:56:48,R_0MQFBkJdsJcEiUe,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,1,1,1,5,1,2,4,3,4,2,"1,2",1,4,3,9,,,1,5,1,6,,,2,7,1,6,,,1,5,1,6,,,1,5,1,5,,,,,1,5,2,7,4,2,1,
2023-04-09 05:54:13,2023-04-09 05:56:57,4,1.144.29.108,100,163,1,2023-04-16 07:56:48,R_1R1nhUGTarNSkoC,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,4,2,4,3,4,1,2,"1,3,11",2,"1,2",2,8,2,8,,,2,8,2,8,,,2,7,2,7,,,3,10,3,10,,,3,9,3,9,,,,,3,9,3,9,5,5,5,
2023-04-09 05:54:58,2023-04-09 05:55:44,4,120.18.105.202,100,46,1,2023-04-16 07:56:48,R_3RcLOof1eDrEbiK,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,3,3,2,4,1,2,3,"3,4",4,3,,,,,2,7,,,,,2,8,,,,,2,8,,,,,3,9,,,,,3,9,3,9,,,,,4,4,5,
2023-04-12 02:58:05,2023-04-12 02:59:30,4,103.120.10.196,100,85,1,2023-04-16 07:56:48,R_3WPAPfE2WE8YWKq,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,4,3,2,2,2,1,3,4,2,2,"1,2",2,8,1,6,,,2,8,1,6,,,2,8,1,6,,,2,7,2,7,,,1,6,2,7,,,,,1,6,2,7,,,,
2023-04-09 06:59:16,2023-04-09 07:00:03,4,120.18.105.202,100,46,1,2023-04-16 07:56:48,R_3xFYXfWiTIKe26q,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,2,2,1,2,3,1,4,"2,4",3,"1,2",1,4,2,8,,,1,5,2,8,,,1,6,2,8,,,1,6,2,8,,,1,6,2,8,,,,,2,7,2,8,3,4,4,
2023-04-09 05:43:21,2023-04-09 05:44:10,4,120.18.157.86,100,49,1,2023-04-16 07:56:48,R_5BhooBAHsLZi15I,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,2,1,1,2,3,1,4,3,1,1,,,1,3,,,1,3,,,,,1,3,,,,,1,3,,,,,1,3,,,,,,,1,4,,,2,4,4,
2023-04-09 05:55:50,2023-04-09 05:57:00,4,120.18.157.86,100,70,1,2023-04-16 07:56:48,R_5zrxWFmIVaSxajI,,,,,-33.8715,151.2006,anonymous,EN,3,1,1,5,4,3,1,3,2,4,1,1,1,"1,2",1,5,1,5,,,1,5,1,5,,,1,5,1,5,,,1,5,1,6,,,1,6,1,6,,,,,1,5,1,5,,,,
2023-04-09 07:00:10,2023-04-09 07:01:32,4,120.18.105.202,100,82,1,2023-04-16 07:56:48,R_6LsLvD1o5cdKPCC,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,4,3,2,2,1,3,4,3,3,2,3,10,,,,,,,3,10,,,,,3,10,,,,,3,10,,,,,3,10,,,,,,,3,10,5,5,5,
2023-04-02 08:25:07,2023-04-02 08:33:20,4,104.28.125.2,100,493,1,2023-04-16 07:56:48,R_6gjF02EfWoduN6K,,,,,-33.8715,151.2006,anonymous,EN,2,2,2,2,3,2,3,2,3,4,1,3,4,1,,,1,6,,,3,9,,,,,2,8,,,,,2,8,,,,,2,8,,,,,,,2,8,,,,,,
2023-04-09 05:44:45,2023-04-09 05:45:45,4,120.18.105.202,100,59,1,2023-04-16 07:56:48,R_9QuumdRW8YPq75k,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,3,2,2,1,3,2,4,2,5,"2,3",2,8,,,2,8,,,2,8,2,8,,,2,8,2,8,,,2,8,2,8,,,2,8,2,8,3,9,,,3,9,,,,
2023-04-09 05:54:48,2023-04-09 05:55:23,4,120.18.157.86,100,34,1,2023-04-16 07:56:48,R_9TTsJ1k9XCPjMLc,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,2,3,3,1,2,4,2,2,1,,,1,5,,,1,4,,,,,1,6,,,,,1,4,,,,,1,5,,,,,,,1,4,,,,,,
2023-04-12 20:55:38,2023-04-12 20:56:25,4,103.120.10.196,100,46,1,2023-04-16 07:56:48,R_9n9MViMZqWKDSBg,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,1,2,3,2,4,1,"2,11",2,3,,,,,2,8,,,,,2,8,,,,,2,8,,,,,2,8,,,,,2,8,2,8,,,,,,,,
2023-04-10 04:57:49,2023-04-10 04:58:58,4,124.170.179.144,100,68,1,2023-04-16 07:56:48,R_aWxuLfvyb6ZJVgq,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,3,2,2,2,1,3,4,"1,2",1,2,2,7,,,,,,,1,5,,,,,2,7,,,,,2,8,,,,,2,7,,,,,,,1,4,,,,
2023-04-09 05:45:53,2023-04-09 05:46:48,4,120.18.105.202,100,55,1,2023-04-16 07:56:48,R_aX0Yo5JqY5orKqW,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,4,3,2,3,1,2,4,4,3,2,2,8,,,,,,,2,7,,,,,2,7,,,,,2,7,,,,,2,7,,,,,,,2,7,1,5,4,
2023-04-09 09:43:14,2023-04-09 09:46:11,4,43.252.112.166,100,176,1,2023-04-16 07:56:48,R_ahOKQy1ibDoHjsG,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,5,1,6,1,3,4,2,1,1,"1,2,3",2,8,2,7,3,10,2,7,2,8,3,9,2,7,2,8,3,9,1,5,2,7,2,7,1,2,1,6,3,10,3,10,1,5,1,6,,,,
2023-04-09 09:54:09,2023-04-09 09:55:41,4,43.252.112.166,100,92,1,2023-04-16 07:56:48,R_bj8rmIS93j6GigK,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,4,2,3,2,3,1,4,1,1,"1,2",3,9,2,7,,,2,7,2,7,,,3,9,1,6,,,2,7,2,8,,,1,3,2,8,,,,,1,5,2,8,,,,
2023-04-02 08:57:43,2023-04-02 08:58:11,4,103.120.10.196,3,27,0,2023-04-16 07:56:48,R_cveqA7G8UbcOtFk,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09 05:59:09,2023-04-09 06:00:44,4,120.18.24.197,100,94,1,2023-04-16 07:56:48,R_d6WiyXPpk3shLhk,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,2,3,2,3,1,4,"1,2",2,"1,2",1,6,1,6,,,2,7,1,6,,,2,7,1,6,,,1,6,1,6,,,1,6,1,6,,,,,1,5,1,6,,,,
2023-04-09 05:41:58,2023-04-09 05:43:03,4,120.18.157.86,100,65,1,2023-04-16 07:56:48,R_dc0SW3gTetXZeom,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,1,3,2,1,3,4,2,2,2,1,5,,,,,,,1,5,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,,
2023-04-09 06:45:38,2023-04-09 06:48:29,4,202.7.250.166,100,171,1,2023-04-16 07:56:48,R_dpaJ8QUqKnm6KUK,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,4,2,4,1,3,2,4,"1,11",1,"1,2",1,6,1,6,,,1,5,1,5,,,2,7,2,7,,,1,0,1,0,,,1,3,1,3,,,,,1,6,1,5,,,,
2023-04-09 06:00:50,2023-04-09 06:03:20,4,120.18.24.197,100,149,1,2023-04-16 07:56:48,R_eUMk0k88qIvAWHA,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,2,2,2,1,3,4,1,1,2,1,6,,,,,,,1,5,,,,,1,6,,,,,1,5,,,,,1,5,,,,,,,1,4,,,,
2023-04-10 04:34:40,2023-04-10 04:35:44,4,124.170.179.144,100,63,1,2023-04-16 07:56:48,R_esmOVwOhc04L1wW,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,2,1,4,1,2,3,4,1,1,"1,2",1,6,1,6,,,1,5,2,7,,,1,6,2,7,,,1,5,2,7,,,1,5,2,7,,,,,1,5,2,7,,,,
2023-04-05 23:44:51,2023-04-09 04:52:39,4,120.18.105.202,100,277668,1,2023-04-16 07:56:48,R_037k2h74SOR2F0y,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,2,3,2,2,1,2,3,,4,4,3,,,,,1,5,,,,,2,7,,,,,1,6,,,,,1,6,,,,,1,5,1,4,,,,,,,,
2023-04-12 20:51:05,2023-04-12 20:53:28,4,73.167.207.118,100,142,1,2023-04-16 07:56:48,R_0TzF20qMzrTkHe6,,,,,42.3427,-71.0922,anonymous,EN,3,1,3,4,4,1,4,3,1,2,4,1,2,"2,3",2,7,,,2,8,,,2,7,2,7,,,2,7,1,6,,,2,8,1,5,,,2,8,1,6,2,8,,,1,5,,,,
2023-04-09 06:03:25,2023-04-09 06:04:09,4,120.18.105.202,100,44,1,2023-04-16 07:56:48,R_0UJqhwR3w6wRfNk,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,4,2,1,1,3,2,4,4,2,"1,2",3,9,2,8,,,3,9,2,7,,,3,9,1,6,,,3,10,2,7,,,3,10,2,8,,,,,2,8,2,8,4,3,2,
2023-04-02 08:07:00,2023-04-02 08:27:53,4,103.120.10.196,100,1252,1,2023-04-16 07:56:48,R_0lxnm97yj0fcGua,,,,,-33.8715,151.2006,anonymous,EN,2,2,2,2,2,2,2,1,2,3,4,1,4,"2,3",2,8,,,2,8,,,2,8,2,8,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,
2023-04-09 05:46:54,2023-04-09 05:47:32,4,120.18.105.202,100,37,1,2023-04-16 07:56:48,R_1AAP63LeYALdCHY,,,,,-33.8715,151.2006,anonymous,EN,,2,2,1,1,1,1,3,1,2,4,2,1,2,2,7,,,,,,,2,7,,,,,1,6,,,,,2,7,,,,,2,8,,,,,,,2,7,,,,
2023-04-09 06:06:27,2023-04-09 06:59:09,4,120.18.105.202,100,3162,1,2023-04-16 07:56:48,R_2n9uk1scBR6yf8G,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,1,2,2,2,1,3,4,2,"3,11",2,"1,2,3",2,7,2,7,2,7,2,8,2,8,2,8,3,9,3,9,3,9,1,5,1,6,2,7,2,7,2,7,2,8,2,7,2,7,2,8,3,4,4,
2023-04-09 05:38:22,2023-04-09 05:40:29,4,120.18.157.86,100,126,1,2023-04-16 07:56:48,R_3L9QKz0w6f6sifY,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,4,2,4,2,1,3,4,"1,2",1,2,1,6,,,,,,,1,6,,,,,1,6,,,,,1,6,,,,,1,6,,,,,,,1,6,,,,
2023-04-12 21:01:06,2023-04-12 21:02:01,4,103.120.10.196,100,55,1,2023-04-16 07:56:48,R_3QQw5vaBIyErip8,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,2,2,2,4,2,3,1,1,1,1,,,1,4,,,1,4,,,,,1,4,,,,,1,4,,,,,1,4,,,,,,,1,4,,,,,,
2023-04-12 20:59:49,2023-04-12 21:06:02,4,150.203.2.243,100,373,1,2023-04-16 07:56:48,R_3VhICAQ5T6mj1gq,,,,,-35.2828,149.1283,anonymous,EN,3,2,2,4,3,2,3,4,1,2,3,1,1,"1,3",,,3,9,3,9,3,9,,,3,9,3,10,,,3,10,2,7,,,2,8,2,7,,,2,8,3,9,3,9,,,,,,
2023-04-06 04:24:42,2023-04-11 03:43:11,4,49.180.6.72,100,429508,1,2023-04-16 07:56:48,R_3fIgSHQhSmEFBKm,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,3,3,5,1,2,3,4,1,3,3,,,,,3,9,,,,,,,,,,,3,9,,,,,2,8,,,,,2,8,2,8,,,,,,,,
2023-04-02 20:27:35,2023-04-02 20:29:13,4,,100,97,1,2023-04-16 07:56:48,R_3pzWcZEVcYJjAqO,,,,,-33.8715,151.2006,preview,EN,3,2,2,3,3,3,6,1,2,4,,3,2,3,,,,,3,10,,,,,3,10,,,,,2,8,,,,,2,8,,,,,2,8,2,8,,,,,,,,
